corporateID,corporateType,corporateName,corporateKana,location,moddate
2210001012681,http://imi.go.jp/ns/code_id/code/kind#301,石黒砕石株式会社,,福井県鯖江市中野町第１７４号１０番地の１,2015-11-12T15:00:00.000Z
9210001012683,http://imi.go.jp/ns/code_id/code/kind#301,イトウ電器株式会社,イトウデンキ,福井県鯖江市横江町１丁目７番２５号,2018-12-11T15:00:00.000Z
7210001012685,http://imi.go.jp/ns/code_id/code/kind#301,株式会社岩尾組,イワオグミ,福井県鯖江市杉本町第３２号１２７番地,2019-06-06T15:00:00.000Z
6210001012686,http://imi.go.jp/ns/code_id/code/kind#301,株式会社いずもや,イズモヤ,福井県鯖江市小黒町１丁目１５番２３号,2019-05-30T15:00:00.000Z
5210001012687,http://imi.go.jp/ns/code_id/code/kind#301,株式会社内田工務店,ウチダコウムテン,福井県鯖江市屋形町１番２４号,2019-11-11T15:00:00.000Z
4210001012688,http://imi.go.jp/ns/code_id/code/kind#301,株式会社内田商店,,福井県鯖江市有定町２丁目６０９番地,2015-11-12T15:00:00.000Z
3210001012689,http://imi.go.jp/ns/code_id/code/kind#301,ウラセ株式会社,ウラセ,福井県鯖江市神中町２丁目７番４０号,2019-08-05T15:00:00.000Z
5210001012695,http://imi.go.jp/ns/code_id/code/kind#301,ウエルズ株式会社,ウエルズ,福井県鯖江市神中町１丁目５番８号,2018-06-18T15:00:00.000Z
3210001012697,http://imi.go.jp/ns/code_id/code/kind#301,オリエント眼鏡株式会社,オリエントガンキョウ,福井県鯖江市吉江町１０１番地,2019-09-04T15:00:00.000Z
1210001012699,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ウォーク,ウォーク,福井県鯖江市御幸町１丁目２番３２号,2019-12-03T15:00:00.000Z
9210001012700,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ウォンツ,ウォンツ,福井県鯖江市石田下町第１２号１１番地１,2018-12-13T15:00:00.000Z
8210001012701,http://imi.go.jp/ns/code_id/code/kind#301,株式会社ヴィンネットワーク,ヴィンネットワーク,福井県鯖江市北野町１丁目１３番２号,2018-07-19T15:00:00.000Z
7210001012702,http://imi.go.jp/ns/code_id/code/kind#301,株式会社栄光眼鏡,エイコウガンキョウ,福井県鯖江市上河端町４５号３番地,2019-10-08T15:00:00.000Z
6210001012703,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エクセル眼鏡,エクセルガンキョウ,福井県鯖江市神中町２丁目５番１２号,2018-12-25T15:00:00.000Z
5210001012704,http://imi.go.jp/ns/code_id/code/kind#301,越前漆器株式会社,,福井県鯖江市莇生田町１６号１９番地,2015-11-12T15:00:00.000Z
